Var1	Var2
1.097458373	2.9111e-05
1.1305374933	2.8965e-05
1.1485027834	2.9259e-05
1.1883300505	2.89025e-05
1.2304004774	2.8979e-05
1.2672714097	2.935e-05
1.2715651376	2.9282e-05
1.3055542859	2.9165e-05
1.3439094313	2.9149e-05
1.3845085682	2.935e-05
1.4198570218	2.9488e-05
1.4461979583	2.943125e-05
1.4618909728	2.9463e-05
1.4688206782	2.9353e-05
1.501395233	2.9466e-05
1.5091744461	2.9358e-05
1.5190983535	2.941e-05
1.5309212757	2.937e-05
1.5882924813	2.943e-05
1.6089399918	2.9296e-05
1.6203222723	2.9243e-05
1.6454523731	2.9302e-05
1.6625543	2.9558e-05
1.6725753846	2.9636e-05
1.6851831845	2.9567e-05
1.7079181219	2.9615e-05
1.7204185589	2.9322e-05
1.7256128297	2.9565e-05
1.7308547904	2.9558e-05
1.7420500172	2.9544e-05
1.7608746347	2.9688e-05
1.7723061893	2.9719e-05
1.7820936545	2.9983e-05
1.7997905787	2.9715e-05
1.8151296304	2.9963e-05
1.8240503411	2.9615e-05
1.8298472782	2.9811e-05
1.836812834	2.9531e-05
1.8496028727	2.9613e-05
1.8700296128	2.9631e-05
1.8819290523	2.9886e-05
1.8891863554	2.9696e-05
1.9016903771	2.9848e-05
1.9210812616	2.9665e-05
1.9342835763	2.9974e-05
1.9422480885	2.9775e-05
1.9479765131	2.9808e-05
1.9545520245	2.9751e-05
1.9650291796	3.0199e-05
1.9862664653	3.0063e-05
2.00515771	2.991e-05
2.019489593	3.0182e-05
2.0296472451	3.0025e-05
2.0374554551	3.0013e-05
2.0446885848	2.9988e-05
2.0552321357	3.0017e-05
2.0710702516	2.9815e-05
2.0891208034	3.0077e-05
2.1050970969	3.0376e-05
2.1138472233	3.0135e-05
2.1202163923	2.9876e-05
2.1265018336	3.0194e-05
2.1350800097	3.0132e-05
2.1479541699	3.0251e-05
2.1670536633	3.0392e-05
2.1843017959	3.0254e-05
2.1943963062	3.0281e-05
2.200984673	3.0413e-05
2.2098828994	3.0165e-05
2.2252314816	3.0219e-05
2.2441749343	3.025e-05
2.257739525	3.0296e-05
2.2668934913	3.0293e-05
2.2757911038	3.0155e-05
2.2850311353	3.0212e-05
2.297288512	3.0278e-05
2.3108005479	3.0147e-05
2.3252095188	3.057e-05
2.3383586791	3.051e-05
2.3502664379	3.0573e-05
2.3594629565	3.0476e-05
2.3664590623	3.0262e-05
2.3742680051	3.0372e-05
2.3847255636	3.0672e-05
2.4008226906	3.0531e-05
2.423537423	3.0644e-05
2.4386751201	3.0654e-05
2.4481061275	3.0786e-05
2.454596322	3.0461e-05
2.4622884953	3.0475e-05
2.4740608102	3.0825e-05
2.4923479536	3.078e-05
2.5115354624	3.0923e-05
2.527422442	3.0831e-05
2.5407917545	3.0428e-05
2.5484165671	3.0611e-05
2.5543064443	3.0637e-05
2.5597300746	3.0558e-05
2.5652715188	3.0999e-05
2.5723391068	3.0878e-05
2.6073599867	3.1135e-05
2.62565592	3.0928e-05
2.6440965819	3.0887e-05
