T	res	T**1.2	rho
2.5107	161.55	3.0182	4.8326
2.5166	161.73	3.0268	4.8380
2.5222	162.05	3.0348	4.8477
2.5285	162.21	3.0439	4.8523
2.5341	162.46	3.0520	4.8598
2.5408	162.69	3.0617	4.8666
2.5456	162.84	3.0687	4.8712
2.5516	163.03	3.0773	4.8769
2.5568	163.20	3.0849	4.8822
2.5623	163.49	3.0928	4.8907
2.5691	163.48	3.1027	4.8904
2.5756	163.70	3.1121	4.8970
2.5802	163.89	3.1188	4.9026
2.5865	164.09	3.1279	4.9087
2.5924	164.31	3.1365	4.9153
2.5972	164.50	3.1434	4.9209
2.6048	164.69	3.1545	4.9266
2.6089	164.92	3.1604	4.9335
2.6156	165.08	3.1702	4.9383
2.6214	165.32	3.1786	4.9454
2.6285	165.46	3.1890	4.9497
2.6327	165.71	3.1951	4.9571
2.6392	165.94	3.2045	4.9641
2.6445	166.04	3.2123	4.9671
2.6514	166.23	3.2223	4.9727
2.6557	166.37	3.2286	4.9768
2.6620	166.58	3.2378	4.9831
2.6680	166.81	3.2466	4.9901
2.6733	167.04	3.2543	4.9969
2.6797	167.20	3.2636	5.0016
2.6848	167.35	3.2711	5.0062
2.6909	167.66	3.2800	5.0155
2.6964	167.86	3.2881	5.0216
2.7019	167.99	3.2961	5.0254
2.7084	168.23	3.3056	5.0324
2.7139	168.43	3.3137	5.0384
2.7202	168.63	3.3229	5.0445
2.7254	168.85	3.3306	5.0512
2.7307	169.05	3.3383	5.0572
2.7370	169.22	3.3476	5.0621
2.7427	169.35	3.3559	5.0660
2.7480	169.59	3.3637	5.0731
2.7541	169.74	3.3727	5.0777
2.7598	169.97	3.3811	5.0846
2.7656	170.11	3.3896	5.0889
2.7717	170.24	3.3986	5.0925
2.7768	170.46	3.4061	5.0992
2.7822	170.56	3.4140	5.1023
2.7892	170.77	3.4243	5.1085
2.7947	171.02	3.4324	5.1160
2.8002	171.27	3.4405	5.1234
2.8058	171.51	3.4488	5.1306
2.8118	171.72	3.4577	5.1371
2.8181	171.82	3.4670	5.1400
2.8237	172.04	3.4752	5.1464
2.8283	172.23	3.4820	5.1521
2.8351	172.42	3.4921	5.1580
2.8408	172.62	3.5005	5.1638
2.8477	172.74	3.5107	5.1675
2.8527	172.94	3.5181	5.1734
2.8580	173.23	3.5259	5.1822
2.8642	173.49	3.5351	5.1900
2.8693	173.73	3.5427	5.1970
2.8755	173.88	3.5519	5.2015
2.8810	174.01	3.5600	5.2056
2.8865	174.21	3.5682	5.2115
2.8928	174.44	3.5775	5.2184
2.8995	174.67	3.5875	5.2252
2.9039	174.90	3.5940	5.2320
2.9103	175.05	3.6035	5.2365
2.9155	175.17	3.6112	5.2401
2.9211	175.26	3.6196	5.2430
2.9276	175.39	3.6292	5.2466
2.9329	175.56	3.6371	5.2517
2.9394	175.76	3.6468	5.2578
2.9447	175.95	3.6547	5.2633
2.9505	176.12	3.6633	5.2686
2.9567	176.22	3.6726	5.2715
2.9624	176.44	3.6811	5.2780
2.9678	176.65	3.6891	5.2843
2.9737	176.78	3.6979	5.2883
2.9795	176.93	3.7066	5.2928
2.9850	177.06	3.7148	5.2966
2.9909	177.16	3.7236	5.2997
2.9973	177.38	3.7332	5.3062
3.0028	177.52	3.7414	5.3105
3.0088	177.69	3.7504	5.3157
3.0143	177.96	3.7586	5.3236
3.0208	178.13	3.7683	5.3287
3.0264	178.29	3.7767	5.3335
3.0320	178.49	3.7851	5.3393
3.0386	178.69	3.7950	5.3455
3.0434	178.85	3.8022	5.3501
3.0508	179.12	3.8133	5.3583
3.0552	179.29	3.8199	5.3632
3.0610	179.51	3.8286	5.3701
3.0667	179.75	3.8371	5.3772
3.0734	179.96	3.8472	5.3833
3.0783	180.21	3.8545	5.3909
3.0842	180.31	3.8634	5.3938
3.0914	180.57	3.8742	5.4017
3.0972	180.80	3.8830	5.4085
3.1031	180.99	3.8918	5.4142
3.1086	181.22	3.9001	5.4210
3.1136	181.43	3.9076	5.4273
3.1196	181.66	3.9167	5.4343
3.1255	181.97	3.9256	5.4435
3.1320	182.21	3.9354	5.4506
3.1371	182.37	3.9431	5.4556
3.1436	182.56	3.9529	5.4613
3.1492	182.76	3.9613	5.4672
3.1553	182.98	3.9705	5.4736
3.1619	183.16	3.9805	5.4791
3.1671	183.47	3.9884	5.4885
3.1728	183.62	3.9970	5.4928
3.1785	183.83	4.0056	5.4993
3.1861	184.00	4.0171	5.5044
3.1914	184.23	4.0251	5.5112
3.1966	184.44	4.0330	5.5173
3.2034	184.67	4.0433	5.5244
3.2082	184.99	4.0505	5.5339
3.2150	185.13	4.0609	5.5380
3.2204	185.29	4.0690	5.5428
3.2258	185.52	4.0772	5.5498
3.2321	185.69	4.0868	5.5548
3.2370	185.90	4.0942	5.5612
3.2450	186.13	4.1064	5.5680
3.2509	186.26	4.1153	5.5718
3.2569	186.41	4.1244	5.5764
3.2629	186.60	4.1336	5.5820
3.2679	186.84	4.1412	5.5892
3.2744	187.09	4.1511	5.5968
3.2800	187.35	4.1596	5.6044
3.2860	187.48	4.1687	5.6085
3.2916	187.73	4.1772	5.6159
3.2987	187.95	4.1880	5.6224
3.3039	188.16	4.1960	5.6289
3.3110	188.34	4.2068	5.6341
3.3162	188.50	4.2147	5.6389
3.3213	188.66	4.2225	5.6437
3.3276	188.89	4.2321	5.6505
3.3338	189.11	4.2416	5.6571
3.3401	189.27	4.2512	5.6618
3.3442	189.50	4.2575	5.6688
3.3521	189.75	4.2695	5.6762
3.3574	189.94	4.2776	5.6821
3.3637	190.22	4.2873	5.6903
3.3690	190.39	4.2954	5.6954
3.3759	190.66	4.3059	5.7034
3.3818	190.88	4.3150	5.7100
3.3877	191.08	4.3240	5.7161
3.3931	191.20	4.3323	5.7198
3.3985	191.41	4.3405	5.7260
3.4055	191.56	4.3513	5.7303
3.4120	191.79	4.3612	5.7374
3.4169	191.91	4.3688	5.7408
3.4224	192.12	4.3772	5.7472
3.4289	192.30	4.3872	5.7527
3.4344	192.46	4.3956	5.7575
3.4394	192.69	4.4033	5.7642
3.4460	192.93	4.4135	5.7714
3.4515	193.05	4.4219	5.7751
3.4565	193.12	4.4296	5.7770
3.4627	193.31	4.4391	5.7827
3.4660	193.47	4.4442	5.7876
3.4750	193.63	4.4581	5.7924
3.4773	193.81	4.4616	5.7977
3.4857	193.93	4.4745	5.8013
3.4891	194.13	4.4798	5.8074
3.4948	194.19	4.4886	5.8091
3.5010	194.40	4.4981	5.8154
3.5062	194.58	4.5061	5.8207
3.5113	194.79	4.5140	5.8270
3.5182	194.95	4.5246	5.8318
3.5239	195.12	4.5334	5.8371
3.5286	195.26	4.5407	5.8412
3.5349	195.51	4.5504	5.8487
3.5401	195.73	4.5585	5.8551
3.5454	195.91	4.5667	5.8606
3.5518	196.18	4.5766	5.8685
3.5571	196.35	4.5847	5.8738
3.5629	196.49	4.5937	5.8780
3.5671	196.66	4.6002	5.8830
3.5724	196.96	4.6084	5.8921
3.5789	197.18	4.6185	5.8987
3.5848	197.42	4.6276	5.9058
3.5902	197.52	4.6360	5.9088
3.5937	197.70	4.6414	5.9142
3.5991	197.90	4.6498	5.9199
3.6051	198.05	4.6591	5.9245
3.6105	198.30	4.6675	5.9320
3.6159	198.47	4.6758	5.9372
3.6220	198.65	4.6853	5.9425
3.6274	198.87	4.6937	5.9491
3.6311	199.06	4.6994	5.9549
3.6359	199.23	4.7069	5.9599
3.6420	199.50	4.7164	5.9680
3.6482	199.61	4.7260	5.9712
3.6518	199.73	4.7316	5.9749
3.6562	199.89	4.7384	5.9796
3.6629	200.05	4.7489	5.9843
3.6673	200.22	4.7557	5.9894
3.6728	200.42	4.7643	5.9954
3.6766	200.62	4.7702	6.0015
3.6809	200.77	4.7769	6.0060
3.6859	200.97	4.7847	6.0121
3.6934	201.14	4.7964	6.0171
3.6947	201.39	4.7984	6.0246
3.7022	201.57	4.8101	6.0298
3.7047	201.77	4.8140	6.0360
3.7097	201.95	4.8218	6.0412
3.7148	202.08	4.8297	6.0450
3.7180	202.29	4.8347	6.0513
3.7237	202.43	4.8436	6.0557
3.7288	202.53	4.8516	6.0585
3.7326	202.68	4.8575	6.0630
3.7377	202.82	4.8655	6.0672
3.7415	202.88	4.8714	6.0690
3.7454	203.09	4.8775	6.0753
3.7505	203.29	4.8855	6.0813
3.7557	203.50	4.8936	6.0876
3.7602	203.77	4.9006	6.0956
3.7634	203.93	4.9056	6.1004
3.7693	204.05	4.9149	6.1040
3.7732	204.12	4.9210	6.1062
3.7771	204.23	4.9271	6.1094
3.7803	204.38	4.9321	6.1139
3.7862	204.58	4.9413	6.1200
3.7901	204.65	4.9474	6.1219
3.7947	204.82	4.9546	6.1270
3.7954	204.94	4.9557	6.1306
3.8006	205.13	4.9639	6.1363
3.8059	205.36	4.9722	6.1434
3.8079	205.50	4.9753	6.1475
3.8132	205.62	4.9836	6.1510
3.8172	205.85	4.9899	6.1578
3.8218	205.94	4.9971	6.1607
3.8265	206.07	5.0045	6.1644
3.8285	206.26	5.0077	6.1703
3.8311	206.37	5.0117	6.1733
3.8365	206.53	5.0202	6.1782
3.8392	206.64	5.0245	6.1816
3.8418	206.67	5.0285	6.1825
3.8465	206.78	5.0359	6.1857
3.8492	206.87	5.0402	6.1884
3.8539	207.05	5.0475	6.1939
3.8546	207.17	5.0486	6.1973
3.8593	207.21	5.0560	6.1985
3.8607	207.30	5.0582	6.2011
3.8661	207.50	5.0667	6.2071
3.8681	207.58	5.0699	6.2097
3.8709	207.65	5.0743	6.2118
3.8749	207.68	5.0806	6.2126
3.8783	207.74	5.0859	6.2144
3.8824	207.76	5.0924	6.2150
3.8845	207.93	5.0957	6.2202
3.8893	207.94	5.1032	6.2203
3.8906	208.06	5.1053	6.2239
3.8948	208.16	5.1119	6.2271
3.8982	208.28	5.1173	6.2307
3.9009	208.41	5.1215	6.2344
3.9058	208.45	5.1292	6.2356
3.9065	208.55	5.1303	6.2387
3.9099	208.62	5.1357	6.2406
3.9127	208.72	5.1401	6.2437
3.9168	208.87	5.1466	6.2483
3.9182	208.99	5.1488	6.2518
3.9217	209.16	5.1543	6.2569
3.9252	209.30	5.1598	6.2612
3.9286	209.35	5.1652	6.2627
3.9314	209.39	5.1696	6.2637
3.9328	209.50	5.1718	6.2672
3.9363	209.59	5.1773	6.2697
3.9391	209.73	5.1817	6.2739
3.9426	209.77	5.1873	6.2753
3.9440	209.95	5.1895	6.2806
3.9475	210.02	5.1950	6.2828
3.9510	210.15	5.2005	6.2865
3.9517	210.25	5.2016	6.2894
3.9546	210.39	5.2062	6.2938
3.9574	210.54	5.2107	6.2982
3.9602	210.64	5.2151	6.3011
3.9630	210.67	5.2195	6.3021
3.9659	210.80	5.2241	6.3060
3.9708	211.03	5.2318	6.3127
3.9729	211.14	5.2352	6.3163
3.9751	211.25	5.2386	6.3195
3.9758	211.32	5.2397	6.3216
3.9808	211.42	5.2476	6.3246
3.9815	211.48	5.2488	6.3264
3.9858	211.64	5.2556	6.3312
3.9872	211.73	5.2578	6.3338
3.9900	211.90	5.2622	6.3390
3.9915	211.96	5.2646	6.3407
3.9929	211.97	5.2668	6.3409
3.9958	212.00	5.2714	6.3420
3.9972	212.04	5.2736	6.3431
4.0015	212.07	5.2804	6.3440
4.0022	212.11	5.2815	6.3450
4.0065	212.16	5.2883	6.3466
4.0087	212.19	5.2918	6.3474
4.0116	212.31	5.2964	6.3512
4.0123	212.25	5.2975	6.3493
4.0152	212.28	5.3021	6.3502
4.0159	212.42	5.3032	6.3543
4.0195	212.49	5.3089	6.3566
4.0210	212.63	5.3113	6.3608
4.0217	212.64	5.3124	6.3609
4.0246	212.72	5.3170	6.3635
4.0268	212.76	5.3205	6.3645
4.0275	212.76	5.3216	6.3645
4.0304	212.79	5.3262	6.3654
4.0319	212.82	5.3286	6.3665
4.0333	212.90	5.3308	6.3687
4.0370	212.92	5.3367	6.3694
4.0377	212.97	5.3378	6.3708
4.0384	213.05	5.3389	6.3734
4.0406	213.15	5.3424	6.3764
4.0436	213.23	5.3471	6.3788
4.0443	213.31	5.3483	6.3811
4.0457	213.34	5.3505	6.3818
4.0494	213.46	5.3563	6.3855
4.0494	213.39	5.3563	6.3834
4.0516	213.57	5.3598	6.3890
4.0523	213.58	5.3610	6.3890
4.0553	213.61	5.3657	6.3902
4.0560	213.59	5.3668	6.3894
4.0575	213.49	5.3692	6.3866
4.0597	213.54	5.3727	6.3880
4.0612	213.62	5.3751	6.3903
4.0626	213.59	5.3773	6.3895
4.0634	213.63	5.3786	6.3906
4.0663	213.76	5.3832	6.3946
4.0671	213.81	5.3845	6.3960
4.0678	213.90	5.3856	6.3987
4.0715	214.15	5.3914	6.4061
4.0715	214.05	5.3914	6.4031
4.0722	214.18	5.3926	6.4070
4.0752	214.37	5.3973	6.4127
4.0752	214.28	5.3973	6.4101
4.0759	214.33	5.3984	6.4117
4.0804	214.46	5.4056	6.4154
4.0811	214.63	5.4067	6.4206
4.0811	214.61	5.4067	6.4199
4.0826	214.67	5.4091	6.4218
4.0834	214.77	5.4104	6.4247
4.0863	214.79	5.4150	6.4253
4.0871	214.93	5.4162	6.4295
4.0893	215.05	5.4197	6.4332
4.0893	215.01	5.4197	6.4320
4.0901	215.00	5.4210	6.4316
4.0923	215.09	5.4245	6.4344
4.0938	215.13	5.4269	6.4355
4.0938	215.15	5.4269	6.4362
4.0945	215.24	5.4280	6.4389
4.0960	215.21	5.4304	6.4378
4.0983	215.26	5.4341	6.4393
4.0983	215.23	5.4341	6.4384
4.1005	215.28	5.4376	6.4399
4.1013	215.31	5.4388	6.4410
4.1028	215.45	5.4412	6.4450
4.1028	215.39	5.4412	6.4433
4.1035	215.39	5.4423	6.4432
4.1058	215.39	5.4460	6.4433
4.1073	215.42	5.4484	6.4441
4.1088	215.42	5.4508	6.4441
4.1095	215.50	5.4519	6.4466
4.1103	215.53	5.4532	6.4476
4.1125	215.47	5.4567	6.4456
4.1133	215.53	5.4579	6.4476
4.1140	215.61	5.4591	6.4499
4.1155	215.70	5.4614	6.4526
4.1163	215.73	5.4627	6.4535
4.1178	215.73	5.4651	6.4533
4.1185	215.71	5.4662	6.4528
4.1185	215.74	5.4662	6.4537
4.1200	215.76	5.4686	6.4544
4.1200	215.72	5.4686	6.4532
4.1231	215.77	5.4735	6.4545
4.1238	215.77	5.4747	6.4546
4.1238	215.76	5.4747	6.4543
4.1246	215.71	5.4759	6.4528
4.1261	216.00	5.4783	6.4616
4.1261	215.82	5.4783	6.4561
4.1276	215.98	5.4807	6.4610
4.1291	216.02	5.4831	6.4621
4.1291	215.96	5.4831	6.4602
4.1314	216.04	5.4868	6.4627
4.1314	216.00	5.4868	6.4614
4.1321	216.11	5.4879	6.4650
4.1329	216.13	5.4892	6.4655
4.1352	216.15	5.4928	6.4660
4.1359	216.16	5.4939	6.4662
4.1367	216.22	5.4952	6.4682
4.1375	216.41	5.4965	6.4737
4.1375	216.28	5.4965	6.4700
4.1382	216.45	5.4976	6.4750
4.1405	216.65	5.5013	6.4809
4.1405	216.57	5.5013	6.4785
4.1405	216.56	5.5013	6.4782
4.1420	216.77	5.5037	6.4846
4.1428	216.81	5.5049	6.4858
4.1443	216.95	5.5073	6.4900
4.1458	216.88	5.5097	6.4880
4.1466	216.90	5.5110	6.4884
4.1466	216.93	5.5110	6.4895
4.1466	216.75	5.5110	6.4839
4.1466	216.81	5.5110	6.4858
4.1473	217.01	5.5121	6.4916
4.1489	217.08	5.5147	6.4938
4.1496	217.05	5.5158	6.4928
4.1496	217.06	5.5158	6.4932
4.1519	217.05	5.5195	6.4930
4.1519	216.99	5.5195	6.4913
4.1527	217.09	5.5207	6.4941
4.1542	217.12	5.5231	6.4951
4.1550	217.11	5.5244	6.4946
4.1557	217.11	5.5255	6.4947
4.1565	217.20	5.5268	6.4974
4.1565	217.12	5.5268	6.4949
4.1565	217.07	5.5268	6.4935
4.1573	217.26	5.5281	6.4991
4.1596	217.23	5.5317	6.4983
4.1596	217.30	5.5317	6.5004
4.1603	217.35	5.5329	6.5018
4.1611	217.43	5.5341	6.5044
4.1611	217.48	5.5341	6.5058
4.1634	217.47	5.5378	6.5057
4.1642	217.56	5.5391	6.5083
4.1642	217.56	5.5391	6.5082
4.1649	217.48	5.5402	6.5058
4.1657	217.63	5.5415	6.5104
4.1657	217.51	5.5415	6.5066
4.1665	217.72	5.5428	6.5131
4.1673	217.74	5.5440	6.5135
4.1673	217.75	5.5440	6.5138
4.1688	217.75	5.5464	6.5137
4.1703	217.82	5.5488	6.5158
4.1703	217.80	5.5488	6.5153
4.1711	217.79	5.5501	6.5152
4.1711	217.83	5.5501	6.5164
4.1711	217.86	5.5501	6.5171
4.1719	217.74	5.5514	6.5137
4.1719	217.74	5.5514	6.5135
4.1742	217.79	5.5550	6.5150
4.1742	217.81	5.5550	6.5157
4.1742	217.79	5.5550	6.5150
4.1749	217.87	5.5562	6.5176
4.1749	217.90	5.5562	6.5184
4.1757	217.84	5.5574	6.5165
4.1757	217.81	5.5574	6.5156
4.1765	217.91	5.5587	6.5186
4.1780	218.00	5.5611	6.5215
4.1796	217.98	5.5637	6.5209
4.1804	218.16	5.5650	6.5262
4.1804	218.04	5.5650	6.5226
4.1811	218.19	5.5661	6.5270
4.1819	218.24	5.5673	6.5285
4.1819	218.19	5.5673	6.5271
4.1819	218.20	5.5673	6.5274
4.1827	218.24	5.5686	6.5285
4.1827	218.22	5.5686	6.5280
4.1834	218.22	5.5697	6.5280
4.1842	218.24	5.5710	6.5286
4.1858	218.14	5.5736	6.5256
4.1858	218.18	5.5736	6.5266
4.1873	218.31	5.5760	6.5305
4.1873	218.26	5.5760	6.5291
4.1873	218.21	5.5760	6.5277
4.1881	218.30	5.5773	6.5303
4.1889	218.29	5.5785	6.5301
4.1889	218.27	5.5785	6.5295
4.1889	218.29	5.5785	6.5301
4.1896	218.34	5.5797	6.5316
4.1896	218.32	5.5797	6.5310
4.1904	218.40	5.5809	6.5334
4.1912	218.40	5.5822	6.5333
4.1912	218.33	5.5822	6.5314
4.1920	218.39	5.5835	6.5330
4.1927	218.59	5.5846	6.5389
4.1927	218.53	5.5846	6.5372
4.1935	218.57	5.5859	6.5384
4.1943	218.61	5.5872	6.5396
4.1951	218.66	5.5884	6.5410
4.1958	218.70	5.5896	6.5423
4.1958	218.66	5.5896	6.5411
4.1959	218.74	5.5897	6.5434
4.1959	218.74	5.5897	6.5434
4.1966	218.71	5.5908	6.5426
4.1974	218.79	5.5921	6.5449
4.1974	218.79	5.5921	6.5450
4.1974	218.68	5.5921	6.5418
4.1990	218.93	5.5947	6.5491
4.1990	218.84	5.5947	6.5464
4.1997	218.86	5.5958	6.5470
4.1997	218.88	5.5958	6.5477
4.1997	218.91	5.5958	6.5486
4.2005	218.86	5.5971	6.5469
4.2005	218.77	5.5971	6.5443
4.2013	218.87	5.5984	6.5475
4.2021	218.81	5.5996	6.5456
4.2021	218.82	5.5996	6.5458
4.2036	218.90	5.6020	6.5484
4.2036	218.87	5.6020	6.5475
4.2036	218.88	5.6020	6.5477
4.2036	218.82	5.6020	6.5458
4.2044	218.92	5.6033	6.5490
4.2044	218.92	5.6033	6.5488
4.2052	218.94	5.6046	6.5496
4.2052	218.86	5.6046	6.5472
4.2052	218.91	5.6046	6.5487
4.2060	218.90	5.6059	6.5481
4.2060	218.98	5.6059	6.5508
4.2060	218.98	5.6059	6.5506
4.2075	218.86	5.6083	6.5472
4.2083	218.85	5.6096	6.5468
4.2083	218.85	5.6096	6.5469
4.2083	218.90	5.6096	6.5484
4.2091	219.08	5.6108	6.5537
4.2099	218.97	5.6121	6.5503
4.2099	218.96	5.6121	6.5499
4.2099	218.96	5.6121	6.5501
4.2099	219.01	5.6121	6.5516
4.2107	218.98	5.6134	6.5508
4.2107	219.07	5.6134	6.5534
4.2107	219.16	5.6134	6.5559
4.2114	219.24	5.6145	6.5584
4.2114	219.18	5.6145	6.5566
