Temp(K)	Res(\muOhmcm)
0.3977	0.000950247896161802
0.43655	-0.00141363851227234
0.47925	-0.000739953176798763
0.52095	-0.00358495641385387
0.5613	1.06018859731178e-05
0.60585	-0.00489438491173637
0.64555	-0.00182212721649898
0.6868	0.00271146590770119
0.7312	0.00142187862439172
0.7712	-0.00123564360178007
0.8132	-0.00114674624430767
0.85595	-0.00094203074989989
0.89595	-0.00244865202982605
0.9393	0.000968879111839106
0.98015	-0.00289761133112373
1.02445	0.00356237108187715	
1.06425	-0.0028736985691374
1.10615	-0.00178531657137007
1.1071	-0.0006689366559519
1.1311	-0.00254966607427679
1.1553	-4.21935352998841e-05
1.179	0.00164367634603288
1.2035	-0.00358044505702498
1.2275	-0.00226689876945838
1.2523	-0.00336553579542888
1.2763	0.000846914071445496
1.30115	0.00211538992224335
1.3248	0.000379932487408501
1.34985	-0.00146365499131977
1.37375	0.000600852106347999
1.3975	0.000213898802563748
1.4223	-0.00054581663203346
1.4459	-0.00268659096361231
1.4716	-0.00383954096705023
1.4948	-0.00168575093729418
1.52335	-0.000981416485583907
1.5438	-0.000675482749585439
1.56745	0.00233845228847843
1.59285	-0.00229092514303596
1.6162	-0.0010156791606318
1.64095	-0.0017013209304174
1.6649	0.00158846211889838
1.6901	0.0111652781867521
1.71375	0.0341325557328563
1.7388	0.0685379626939402
1.7627	0.117821421587546
1.787	0.179827121783647
1.811	0.23628923653222
1.83555	0.298295126672338
1.8599	0.341536465092952
1.88395	0.369386033247557
1.90885	0.391753779419959
1.93295	0.403632775943346
1.95775	0.405684558320732
1.9817	0.40836443402311
1.9818	0.406240491817115
2.00565	0.409206488067957
2.0303	0.418177494771331
2.0309	0.410576730942044
2.05405	0.413591789061612
2.0611	0.419349349826917
2.07925	0.418582192960757
2.08625	0.422769069571344
2.1031	0.420793430879567
2.1164	0.427817819318575
2.12835	0.427982395677992
2.152	0.423313262787547
2.1706	0.433331410267313
2.1775	0.425219515239775
2.2007	0.432650811474561
2.2274	0.436901762719219
2.29005	0.442127669034261
2.3441	0.448380045949639
2.40045	0.453168284209667
2.57	0.469930140228504
2.7679	0.495558373242958
2.92345	0.511033957797128
3.06225	0.527958820900937
3.24235	0.547549729385159
3.4673	0.579638399231134
3.75275	0.616802645563244
4.02175	0.651496424625613
4.3523	0.701734479824022
4.62315	0.744047732818694
4.8618	0.77826515414419
5.1382	0.824665246878614
5.44505	0.876480380532137
5.74515	0.924641239127473
6.0582	0.982394117520663
6.3967	1.04229074534348
6.7248	1.1071092966077
7.093	1.17971143746431
7.46885	1.2562369375681
7.8426	1.33358135878159
8.2413	1.41896229908605
8.63015	1.50238072677784
9.02845	1.59242037419317
9.42505	1.68682635974852
9.7914	1.77361599471335
10.22355	1.88032133344139
10.6517	1.98991340767295
11.0064	2.08353332091254
11.4179	2.19294765776067
11.8299	2.31042058368194
12.16685	2.4066988558153
12.52415	2.50939781848726
12.8709	2.61305772076359
13.2269	2.72069754603705
13.5762	2.82994837184123
13.912	2.93540856893639
14.28055	3.06202916720822
14.71165	3.20833728807555
15.09905	3.34244097566023
15.52325	3.49181646355089
15.91495	3.63499422170338
16.30215	3.78578626473597
16.6801	3.9263737778642
17.0231	4.06501016196986
17.36875	4.20456992352437
17.7591	4.36798052131349
18.1551	4.53036012340233
18.4515	4.66355239629387
18.74085	4.79034818574897
19.04335	4.92536364040653
19.34705	5.06642452064428
19.6362	5.20354606242419
19.9376	5.34817356646467
20.19845	5.47882951621895
20.54015	5.64144069981275
20.6683	5.71174986077304
20.86845	5.81227864285635
21.12295	5.94431723152111
21.41675	6.09576290573451
21.7097	6.24851674776601
22.00595	6.40590640709813
22.29855	6.56065369551145
22.6231	6.74446943947545
22.95	6.93020589594608
23.26985	7.10832260424865
23.5995	7.30259653669615
23.9518	7.51225877862434
24.3002	7.7280854123117
24.6651	7.9434519604232
24.98665	8.1487375800182
25.30495	8.34905750768522
25.6481	8.57037080979526
25.94745	8.7648423376445
26.24815	8.96293846166265
26.5397	9.15687826284189
26.85915	9.37626289888489
27.17505	9.59510917891846
27.4926	9.8155663346059
27.781	10.0177542323318
28.07585	10.2200819197735
28.3813	10.4380998045572
28.6819	10.6570835733299
28.90245	10.8165042417263
29.1292	10.9868334977416
29.343	11.1479922527117
29.52505	11.2846076998699
29.6564	11.3880452303168
29.77035	11.4725344612729
29.89655	11.5674638113287
29.96005	11.6205681225265
30.0864	11.7171076847138
30.0971	11.721891108471
30.41835	11.9833450486802
31.2192	12.6069360536426
32.03895	13.2775530566721
32.88295	13.9669050983127
33.66255	14.6245368278077
34.46235	15.3164295219151
35.26375	16.0350733803096
36.10315	16.779837864079
36.90405	17.5160555692151
37.7233	18.2765126410435
38.51635	19.0317571261093
39.4746	19.9537751878637
40.3114	20.7570324368911
41.21965	21.6822762249775
41.92435	22.3812087479487
42.8593	23.33659353335
43.6809	24.1865043811253
44.4818	25.0189899470598
45.28635	25.8568739453496
46.072	26.6988778964602
46.87985	27.5716592846195
47.69475	28.4427433172439
48.50795	29.3264318990188
49.31665	30.2066452193997
50.13985	31.1146137764491
50.952	32.0170557130184
51.74495	32.9041232492189
52.5859	33.8266000555734
53.3842	34.7328027400849
54.205	35.671990011788
55.01265	36.5797652366693
55.81445	37.5113675688078
56.6105	38.428901531823
57.71685	39.700566546766
58.5099	40.6043632825967
59.3194	41.542095849398
60.10425	42.4563733814831
60.972	43.4422330078937
61.7649	44.3558875040481
62.56215	45.2958590409308
63.4005	46.2510027009432
64.186	47.1635000001884
65.00575	48.1115828034825
65.80515	49.0302174575611
66.61075	49.9703011429675
67.4236	50.8912135647591
68.22125	51.8119535641623
69.01115	52.7311985053885
69.8301	53.6733979564246
70.6704	54.6315611537058
71.48845	55.5763820904757
72.30805	56.5153444878376
73.04605	57.3406981960382
73.88845	58.3038278208096
74.70075	59.2300652894113
75.4859	60.1203048365963
76.36845	61.0878924062073
77.11855	61.9492554430985
77.92965	62.8652648572407
78.7469	63.7836390887394
79.55395	64.6579081648007
80.36955	65.5670476617084
81.1983	66.4912968560324
82.0145	67.3861494568994
82.7887	68.2368064142816
