t0	r0
0.091354747757638	9.86419216041351e-09
0.0913551888666659	9.87637862586168e-09
0.0913558287446055	9.87445635657345e-09
0.0913566387594495	9.79267954927747e-09
0.0913575775942507	9.70164366684961e-09
0.0913585853002565	9.63928812880974e-09
0.091359646413023	9.517566340941e-09
0.091360760449334	9.46105497746528e-09
0.0913619140417312	9.36577526038587e-09
0.0913631187945197	9.27471225665404e-09
0.0913643518980031	9.16097225860417e-09
0.0913656148963226	9.10827685691826e-09
0.0913669093068823	9.02229550632942e-09
0.0913682467970209	8.974687661924e-09
0.0913696068426243	8.88014276295923e-09
0.0913709681109146	8.75439797107127e-09
0.0913723334962707	8.66585253532439e-09
0.0913737153159209	8.55057773002545e-09
0.0913751065702806	8.44867753566671e-09
0.0913764986258803	8.39134856274173e-09
0.0913778941917754	8.32488958181587e-09
0.0913792958310794	8.32290065153954e-09
0.0913806952711455	8.23651819920684e-09
0.0913820951626422	8.19806458208554e-09
0.091383506893566	8.13594732379619e-09
0.0913849240879186	8.07034533219489e-09
0.0913863387556232	8.02695896432359e-09
0.0913877533793954	7.98867664863291e-09
0.0913891788880831	7.94265864887495e-09
0.0913905990794343	7.84385104317865e-09
0.0913920163820088	7.70687536590002e-09
0.0913934232364939	7.59260347308121e-09
0.0913948220833	7.47073544779543e-09
0.0913962152546971	7.32180304681353e-09
0.0913976131681168	7.21305128559002e-09
0.09139900031959	7.07959518147444e-09
0.0914003789663145	6.98495275408129e-09
0.0914017512749186	6.84796779542469e-09
0.0914031193310098	6.69813744009632e-09
0.0914044851478678	6.5654244641533e-09
0.0914058585664664	6.38552892457591e-09
0.0914072337423529	6.18256251990856e-09
0.0914086032873638	6.0428475147541e-09
0.0914099691350472	5.85850691097453e-09
0.0914113331616883	5.67788723143698e-09
0.0914126971925614	5.43220823280038e-09
0.0914140630077056	5.22845773661736e-09
0.091415432347278	5.02864070813183e-09
0.0914167889355918	4.81768959903522e-09
0.0914181422180613	4.63610251028585e-09
0.0914194866117861	4.45954809259656e-09
0.0914208238888417	4.34130859798541e-09
0.0914221557741588	4.20178135995255e-09
0.0914234839502732	4.06366089219958e-09
0.0914248100617634	3.90763146174396e-09
0.0914261357194035	3.79832487471281e-09
0.0914274625040614	3.70585542966528e-09
0.0914287993348106	3.59554701108219e-09
0.0914301405590489	3.54095116610937e-09
0.0914314876962734	3.45942744492835e-09
0.0914328336139712	3.41387139194401e-09
0.0914341798638089	3.30287960262245e-09
0.0914355279744525	3.23690066667296e-09
0.0914368794546427	3.21549987461637e-09
0.0914382430230035	3.13215121583014e-09
0.0914396045881062	3.13083509511286e-09
0.0914409656735493	3.14104271880565e-09
0.0914423277825432	3.14635961208193e-09
0.0914436924006749	3.13531134112599e-09
0.0914450681458545	3.12307450636622e-09
0.0914464495174782	3.14292926038475e-09
0.0914478294752916	3.16378957374878e-09
0.0914492095070394	3.16719575931424e-09
0.0914505910844583	3.21818506421394e-09
0.0914519756657051	3.25029614533382e-09
0.0914533717657709	3.29035147025169e-09
0.0914547654408299	3.29612096191157e-09
0.0914561652070031	3.30662378806256e-09
0.0914575656678472	3.26237115358663e-09
0.0914589682737094	3.25551435814416e-09
0.0914603744647179	3.21628642441668e-09
0.0914617842350328	3.14655786634911e-09
0.0914631922282952	3.10122040086486e-09
0.0914646068746311	3.06892759792234e-09
0.0914660228183445	3.03213320755977e-09
0.0914674414906022	3.00605458293942e-09
0.091468864315151	2.99656970445125e-09
0.0914702996602287	2.97770781413657e-09
0.0914717421860818	2.96321512846431e-09
0.0914731933120445	2.95759172210871e-09
0.0914746613846334	2.92942592790052e-09
0.0914761327541561	2.87366202661947e-09
0.0914776088698767	2.82569403243516e-09
0.0914790828535412	2.81806113398484e-09
0.0914805561653547	2.80962137044979e-09
0.0914820371499327	2.79434914011255e-09
0.0914835205558115	2.73802144046687e-09
0.0914850147096914	2.68305928369332e-09
0.0914865143704269	2.6012741471547e-09
0.0914880127046295	2.52806671272531e-09
0.0914895180361595	2.46558638376314e-09
0.0914912295085868	2.4862487787299e-09
0.0914929407748496	2.4540399515732e-09
0.0914946469126536	2.43745863621626e-09
0.0914963365826797	2.45714474294579e-09
0.0914980036291107	2.48554610857868e-09
0.0914996700881958	2.45696914796434e-09
0.091501337534331	2.48595915166098e-09
0.0915030009313097	2.46297451384635e-09
0.0915046753769123	2.44395099290867e-09
0.0915063409057206	2.44843360408062e-09
0.0915080057529248	2.43101201067224e-09
0.0915096714169997	2.40103933803219e-09
0.0915113462616629	2.3255476656882e-09
0.0915130103218563	2.28175855942746e-09
0.0915146587574088	2.26322715758171e-09
0.0915163065242278	2.25462016248179e-09
0.0915179551054144	2.24033077809607e-09
0.0915196045754303	2.26251917918745e-09
0.0915212432202578	2.27439907433024e-09
0.0915228792508904	2.27645545985093e-09
0.0915245210043736	2.25162149762215e-09
0.0915261567597458	2.19982796342609e-09
0.091527794725399	2.21230802048676e-09
0.091529436375613	2.23163138566591e-09
0.0915310749141027	2.25640930489088e-09
0.0915327052786426	2.28070847897172e-09
0.0915343494017893	2.30379272118351e-09
0.0915359954401026	2.30252002286432e-09
0.0915376300642279	2.27612956538644e-09
0.0915392614815392	2.22904313460809e-09
0.0915408846234023	2.15877260448246e-09
0.0915425145513646	2.07702200917021e-09
0.0915441460708397	1.99239460166332e-09
0.0915457875148129	1.94845174135859e-09
0.0915474188881622	1.87688581079806e-09
0.0915490483953362	1.79997890308806e-09
0.0915506843675099	1.70309544308045e-09
0.0915523216155371	1.62833770044755e-09
0.0915539684775591	1.53196522705157e-09
0.0915556266387405	1.42472628085934e-09
0.0915572895205344	1.31409362102684e-09
0.0915589454209958	1.24302221653568e-09
0.0915606025666491	1.11018181011543e-09
