ts	rs
0.091222858295	-1.02e-08
0.091231436482	1.28e-08
0.09124001467	6.88e-08
0.091265749232	1.3e-08
0.091291483794	-2.06e-08
0.091300061981	6e-08
0.091300061981	-4.2e-09
0.091308640169	3.12e-08
0.091308640169	1.82e-08
0.091317218356	4.2e-09
0.091317218356	-3.2e-09
0.091317218356	-4e-09
0.091317218356	2.06e-08
0.091325796544	-1.18e-08
0.091342952918	1.9e-08
0.091342952918	3.18e-08
0.091342952918	3.96e-08
0.091342952918	-1.06e-08
0.091351531106	-1.54e-08
0.091351531106	-1.54e-08
0.091351531106	3.8e-09
0.091360109293	2.76e-08
0.091360109293	-8.2e-09
0.091360109293	2.1e-08
0.091360109293	2.8e-09
0.091368687481	1.58e-08
0.091368687481	2.44e-08
0.091368687481	1.38e-08
0.091377265668	4.72e-08
0.091377265668	1.96e-08
0.091385843855	1.48e-08
0.091385843855	-4.2e-09
0.091385843855	3.14e-08
0.091385843855	6.4e-09
0.091394422043	-2.52e-08
0.091394422043	9.6e-09
0.091394422043	2.78e-08
0.091394422043	6.6e-09
0.091394422043	4.04e-08
0.091394422043	2.2e-08
0.091394422043	1.84e-08
0.09140300023	-9.4e-09
0.09140300023	2.92e-08
0.09140300023	1.4e-09
0.09140300023	4.6e-09
0.09140300023	-2.4e-09
0.09140300023	1.66e-08
0.091420156605	3.26e-08
0.091420156605	-2.56e-08
0.091420156605	-1.98e-08
0.091420156605	-1.62e-08
0.091420156605	-3.2e-09
0.091420156605	-5e-09
0.091420156605	3.3e-08
0.091420156605	-2.86e-08
0.091420156605	-1.34e-08
0.091420156605	1.58e-08
0.091420156605	-1.02e-08
0.091420156605	8e-10
0.091428734792	-1.3e-08
0.091428734792	2.88e-08
0.091428734792	-2.14e-08
0.091428734792	-4.9e-08
0.091428734792	2.18e-08
0.09143731298	-2.44e-08
0.09143731298	-6e-09
0.09143731298	7.6e-09
0.09143731298	2.04e-08
0.09143731298	-8e-09
0.09143731298	-1.6e-08
0.09144596751	7.6e-09
0.09144596751	1.5e-08
0.09144596751	-4.08e-08
0.09144596751	-1.76e-08
0.09144596751	1.92e-08
0.091454709218	2.12e-08
0.091454709218	4.26e-08
0.091454709218	1.1e-08
0.091454709218	-2.6e-08
0.091454709218	3e-08
0.091463450925	4.64e-08
0.091463450925	-1.16e-08
0.091463450925	-4.8e-09
0.091463450925	2.4e-09
0.091463450925	-1.28e-08
0.091463450925	-5.2e-09
0.091463450925	-8e-10
0.091463450925	1e-08
0.091463450925	-7e-09
0.091463450925	9.4e-09
0.091472192633	2.22e-08
0.091472192633	2.78e-08
0.09148093434	-3.2e-08
0.09148093434	2.2e-09
0.09148093434	-4.8e-09
0.09148093434	6.4e-09
0.09148093434	1.5e-08
0.09148093434	4.76e-08
0.091489676048	-1.4e-08
0.091489676048	1e-09
0.091489676048	-4.54e-08
0.091489676048	-6.2e-09
0.091489676048	-1.14e-08
0.091489676048	4e-09
0.091498417755	-1.6e-09
0.091498417755	-1.98e-08
0.091498417755	-5.2e-09
0.091498417755	2.5e-08
0.091498417755	1.84e-08
0.091507159463	2.92e-08
0.091507159463	1.2e-09
0.091507159463	3.4e-08
0.091507159463	-1.22e-08
0.09151590117	3.3e-08
0.09151590117	-3.5e-08
0.09151590117	-5.16e-08
0.09151590117	8.2e-09
0.091524642878	1.9e-08
0.091524642878	5.2e-09
0.091524642878	1.58e-08
0.091524642878	-2.3e-08
0.091524642878	3.26e-08
0.091524642878	-2.64e-08
0.091524642878	-2e-10
0.091533384586	-8.6e-09
0.091533384586	-1.92e-08
0.091533384586	1.2e-08
0.091533384586	3.6e-08
0.091542126293	3.36e-08
0.091542126293	2.5e-08
0.091542126293	-2.6e-09
0.091542126293	2.78e-08
0.091542126293	3.2e-09
0.091542126293	1.6e-09
0.091550868001	4.14e-08
0.091550868001	-2.68e-08
0.091550868001	1.74e-08
0.091550868001	-5.2e-09
0.091550868001	-2.1e-08
0.091550868001	3.74e-08
0.091559609708	1.2e-09
0.091559609708	-1.2e-08
0.091559609708	3.82e-08
0.091559609708	1.34e-08
0.091559609708	1e-08
0.091559609708	-6.72e-08
0.091559609708	-2.92e-08
0.091559609708	-1.2e-08
0.091559609708	7e-09
0.091568351416	2.2e-09
0.091568351416	-2.3e-08
0.091568351416	1.92e-08
0.091568351416	-1.62e-08
0.091568351416	-2.62e-08
0.091568351416	-1.26e-08
0.091568351416	2.6e-09
0.091568351416	1e-09
0.091577093123	-6.2e-09
0.091577093123	4.3e-08
0.091577093123	6e-09
0.091577093123	2.86e-08
0.091577093123	-2.04e-08
0.091577093123	4e-09
0.091577093123	-5.6e-09
0.091585834831	-5.8e-08
0.091585834831	9.6e-09
0.091585834831	1.24e-08
0.091585834831	1.16e-08
0.091585834831	1.22e-08
0.091594576538	-3e-09
0.091594576538	1.34e-08
0.091594576538	1.98e-08
0.091594576538	1.22e-08
0.091594576538	1.76e-08
0.091594576538	-3.1e-08
0.091603318246	-8e-10
0.091603318246	-2.14e-08
0.091612059953	3.26e-08
0.091612059953	-2.7e-08
0.091612059953	-1.5e-08
0.091612059953	-2.26e-08
0.091620801661	-8e-09
0.091620801661	4.8e-09
0.091629543368	1.14e-08
0.091629543368	4.6e-09
0.091629543368	-1.2e-09
0.091629543368	9.8e-09
0.091638285076	-6.8e-09
0.091638285076	7.4e-09
0.091638285076	6.4e-09
0.091647026783	-1.44e-08
0.091647026783	-2.56e-08
0.091647026783	1.5e-08
0.091647026783	2.36e-08
0.091647026783	2.12e-08
0.091655768491	2.8e-09
0.091655768491	-4.5e-08
0.091664510198	-2.72e-08
0.091664510198	-6.4e-09
0.091664510198	-1.54e-08
0.091673251906	-3.2e-09
0.091673251906	3.28e-08
0.091681993613	-2.32e-08
0.091681993613	3.48e-08
0.091681993613	2.58e-08
0.091681993613	-1.6e-09
0.091690735321	-2.2e-08
0.091690735321	-2.12e-08
0.091690735321	-2.5e-08
0.091699477029	-1.34e-08
0.091699477029	3.52e-08
0.091699477029	-2.4e-09
0.091699477029	1.92e-08
0.091708218736	-3.28e-08
0.091708218736	1.36e-08
0.091708218736	3.08e-08
0.091708218736	-1.04e-08
0.091708218736	-3.4e-09
0.091716960444	1.36e-08
0.091716960444	-6e-10
0.091716960444	3.8e-09
0.091725702151	-4.18e-08
0.091725702151	-1.52e-08
0.091725702151	-2.8e-09
0.091725702151	3.18e-08
0.091725702151	6.6e-09
0.091725702151	-7.4e-09
0.091743185566	1.1e-08
0.091743185566	9.4e-09
0.091743185566	4.7e-08
0.091743185566	1.86e-08
0.091743185566	-2.24e-08
0.091751927274	-2.42e-08
0.091751927274	9e-09
0.091760668981	3.5e-08
0.091760668981	1.56e-08
0.091760668981	8.4e-09
0.091769410689	1.9e-08
0.091769410689	1.7e-08
0.091778152396	-5.6e-09
0.091786894104	5e-09
0.091795635811	-3.8e-09
0.091795635811	3.2e-09
0.091795635811	6.8e-09
0.091804377519	2e-09
0.091804377519	-3.56e-08
0.091804377519	-1.1e-08
0.091813119226	-1.78e-08
0.091821860934	1.98e-08
0.091821860934	3.6e-09
0.091821860934	1.4e-09
0.091830602641	1.98e-08
